Logistic Regression_accuracies,Logistic Regression_precisions,Logistic Regression_recalls,Logistic Regression_f1_scores,Decision Tree Classifier_accuracies,Decision Tree Classifier_precisions,Decision Tree Classifier_recalls,Decision Tree Classifier_f1_scores
0.8998677443626519,0.9281766121669848,0.8669490967019252,0.8965186911673637,0.9985029127267933,0.9977503726792248,0.9992593310712554,0.9985042817840121
0.8997475119650628,0.9287679685154921,0.865530383971343,0.8960348152751215,0.9984234042058069,0.9977947189526272,0.999053133197771,0.9984235295486408
0.9002808008253372,0.9297175639526902,0.8661741735689342,0.8968217023155022,0.9983070502726561,0.9974850225146674,0.9991305326651891,0.9983070995165635
0.8996854565340491,0.9278152389588888,0.8664594825576878,0.8960883216121587,0.9984815811723823,0.9976900918528181,0.9992689916361756,0.9984789175643255
0.9003350993274742,0.9290261681698915,0.866819791961698,0.8968455955554129,0.9983594095425739,0.9976170456791033,0.9991036053690546,0.9983597721518006
0.9004320609384333,0.9287079534476825,0.8677138817331345,0.897175448996267,0.9985126088878891,0.9978634549987786,0.9991613539474604,0.9985119827102867
0.9000558498879124,0.928138997104227,0.8665974191691078,0.8963130766476077,0.9984583103857521,0.9977248192043832,0.9991978609625668,0.9984607967845174
0.9000054298502137,0.9288056459465532,0.8662772646122797,0.8964524252270198,0.9985397581389577,0.9977600247596572,0.9993257904525729,0.9985422938062005
0.8992006484792541,0.9278814982294559,0.865723847230678,0.8957256315661718,0.9984951557979165,0.9978860397316123,0.999108413091597,0.9984968523002421
0.8996912742307066,0.9283864541832669,0.8664853935717771,0.8963685102597699,0.9986115097310673,0.998017517095043,0.9992091613233367,0.9986129837122445
0.8996718819085148,0.9279807760265744,0.8664210881792387,0.8961449826961835,0.9984408572957795,0.9977300242130751,0.9991490056188944,0.9984390107521871
0.8995652241364599,0.9282520350566322,0.8659624996119579,0.8960260180881925,0.9985145481201083,0.99786592923096,0.9991662012906428,0.998515641955787
0.8997727219839121,0.9279943173085311,0.8667297776501763,0.8963163870822785,0.9984738242435055,0.9977348145452011,0.9992166717078883,0.9984751933133255
0.8993868147722953,0.9275970706323411,0.8662363521333949,0.8958672444348997,0.9984117688124917,0.9976923017354201,0.9991353002989612,0.9984132796289515
0.900364187810762,0.9280423455874124,0.8680984211669096,0.8970701070788216,0.9985669073900262,0.9978842949587321,0.9992511165348037,0.9985672380265497
0.8994605055966242,0.9290938896424321,0.8651605729406796,0.8959881874519764,0.9985126088878891,0.9977932406338994,0.9992257472123008,0.9985089801385268
0.9001101483900494,0.9285167262084639,0.8675567898321737,0.8970022475145368,0.9985242442812042,0.9978239910791378,0.999228407028863,0.9985257052301624
0.9002963146830907,0.928666082325622,0.8671745598280818,0.8968675530165047,0.9984970950301356,0.9978200034014131,0.9991833195929758,0.9985011961421756
0.9003680662752003,0.9281054176663576,0.8675142253039395,0.8967875302091892,0.998500973494574,0.9978489622696355,0.9991539828778553,0.9985010461650633
0.8999065290070355,0.9287758055661837,0.8662257820530225,0.8964109603887073,0.998543636603396,0.9977411855869818,0.999348041213109,0.9985439669629788
