Logistic Regression_accuracies,Logistic Regression_precisions,Logistic Regression_recalls,Logistic Regression_f1_scores,Decition Tree Classifier_accuracies,Decition Tree Classifier_precisions,Decition Tree Classifier_recalls,Decition Tree Classifier_f1_scores
0.8997145450173367,0.9280231084142059,0.8665181637903936,0.8962166457952028,0.9984486142246561,0.9976485627953824,0.9992511426864189,0.9984492096784824
0.8995380748853914,0.9275773431715899,0.8663846186718881,0.8959373273740773,0.9984486142246561,0.9976235006801039,0.9992839282534817,0.9984530241444257
0.9004010332229264,0.9295859738593136,0.8662106076430005,0.8967800023312927,0.9983807410969849,0.9975808608878706,0.9991806779792646,0.9983801285421351
0.9009091120643515,0.9279526086052796,0.8686037371685618,0.8972978839722151,0.9984486142246561,0.9976512538273711,0.9992468885627994,0.9984484336938139
0.8993732401467611,0.9280326078802377,0.8654390274236676,0.8956435348867142,0.9983380779881629,0.9975432736459912,0.9991345049212904,0.9983382552261583
0.9001722038210631,0.928255518003922,0.86647738337267,0.8963031899892835,0.9983322602915053,0.9975721294399634,0.9990963983913564,0.9983336820975455
0.8990338745084047,0.927669636623558,0.865600049634142,0.895560650647217,0.9984175865091492,0.9975909690433703,0.9992422888317259,0.9984159461421689
0.8990590845272539,0.9277004316702189,0.8656669548462633,0.8956108087294489,0.9982702048604917,0.9975103317366982,0.9990397757411731,0.9982744679287038
0.8997087273206792,0.9283681945618983,0.865868347230101,0.8960297213024782,0.998446674992437,0.9976491399576379,0.9992423271048736,0.9984450979821216
0.8998192635571725,0.9290126797265907,0.8657498642253084,0.8962663100444573,0.9985513935322727,0.9977943257187823,0.9993089525584284,0.9985510647831155
0.8996563680507613,0.92770306840418,0.8663356712959362,0.8959697945692952,0.9983419564526013,0.9975590791809956,0.99913212605869,0.9983449829755852
0.8997959927705423,0.9287297435534911,0.8660852435113409,0.8963142517738466,0.9982934756471218,0.9977017987100668,0.9988921384439581,0.9982966137455528
0.8992665823747062,0.9268374873631791,0.8663812212707376,0.8955902482558175,0.9986076312666289,0.997873727340452,0.9993394210219545,0.9986060363673075
0.8999356174903232,0.9296239837398373,0.865441136555746,0.8963851260446829,0.9983904372580807,0.9976226269971681,0.9991518598779145,0.998386657854838
0.8994081463267063,0.9277538124281213,0.8663536582056163,0.896003079489318,0.9983671664714506,0.9975234285980048,0.9992119014527413,0.998366951124903
0.8998056889316381,0.9275965130759651,0.8671817698490005,0.8963723191524782,0.9986231451243823,0.99793739430597,0.9993140997074267,0.9986252725252001
0.8997669042872546,0.9285157860972368,0.8658728925491415,0.8961008939178609,0.9983516526136972,0.9974983541803818,0.9992086520706938,0.9983527706397839
0.9001198445511454,0.9287551579271055,0.8667514658889958,0.896682734452261,0.9984156472769301,0.9976264747128267,0.9991984997159732,0.9984118684163976
0.9001954746076933,0.9281603335844094,0.8670380463304553,0.8965586548163156,0.9984175865091492,0.9976371862794385,0.9992059926254144,0.9984209731913757
0.8995051079376654,0.9273429083633853,0.8664842617458793,0.895881218355702,0.9984524926890945,0.997578279025723,0.9993235310126041,0.9984501423616101
