LSTM Classifier_accuracies,LSTM Classifier_precisions,LSTM Classifier_recalls,LSTM Classifier_f1_scores
0.9858823894443712,0.9839471016567489,0.9878379428216283,0.9858886834219167
0.9837201455199858,0.9815558484425668,0.9859343577479444,0.9837402310649713
0.9902243303831147,0.9905537775191543,0.9898971102478813,0.990225335016414
0.9909088793564852,0.9897558199409198,0.9920757191808731,0.9909144117430453
0.9857485824212477,0.9894199539590165,0.9819933745548771,0.9856926757947486
0.9597318429687318,0.9814733699972421,0.9372678577653151,0.9588613927097593
0.615696533428485,0.6133362518256301,0.62934679905203,0.6212383866608819
0.9575094828455518,0.9861346740471975,0.9279399655081335,0.956152656235304
0.8165505712978117,0.8446000812017864,0.7753718565454906,0.8085067620499304
0.5023135040374814,0.5073236842562507,0.11339733731027947,0.18536235426315004
0.5034925572267428,0.5019289029711776,0.7015317320653716,0.5851775162788738
0.9743226261858405,0.9952876592540413,0.9531761294024597,0.9737768227593651
0.6744901758495776,0.7120236760007164,0.585990373763269,0.6428882955524589
0.5811239014249479,0.5816371698596734,0.580489903158678,0.5810629702109997
0.8863474173305305,0.9537166517110856,0.8120966240536179,0.8772276024744272
0.5074621655794038,0.5040153758958608,0.8564699029126214,0.6345882705001525
0.8769149918164401,0.9335930867463204,0.8112630994490369,0.8681398812924457
0.7436218652311177,0.8843103858762339,0.5612193109219605,0.6866577234654747
0.8885019043260393,0.9448874285994132,0.8246869062098069,0.8807047829298453
0.9814260338046961,0.9944680868035752,0.9681941203194955,0.9811552400552476
