Decision Tree Classifier_accuracies,Decision Tree Classifier_precisions,Decision Tree Classifier_recalls,Decision Tree Classifier_f1_scores,Linear Support Vector Machine_accuracies,Linear Support Vector Machine_precisions,Linear Support Vector Machine_recalls,Linear Support Vector Machine_f1_scores
0.9983826803292041,0.9975447170818093,0.9992292497772958,0.9983862728708089,0.885187756463461,0.9212578723043322,0.8424065212164458,0.8800695213922104
0.998576603551122,0.9978466504745129,0.999304481625104,0.9985750339739856,0.8866150313767773,0.9233312562788509,0.8436054932883047,0.8816697259960697
0.9985416973711768,0.9978612988242965,0.9992187591096185,0.998539567618796,0.8835801329537609,0.9196239288642669,0.8403778287657672,0.8782168054885
0.9983361387559437,0.9974544485346662,0.9992299447030644,0.9983414072135255,0.8857152276270779,0.9209876438439866,0.8433652078970171,0.8804689322259068
0.9985339404423,0.99790018518662,0.9991698669459638,0.9985346224520651,0.8846719206931591,0.9204213560543439,0.8421518054532056,0.8795487457846821
0.9983148072015328,0.9974320739004977,0.9992007077228706,0.9983156074764543,0.8861282840897632,0.9227111239545794,0.8426868174091238,0.8808852465667282
0.9985300619778618,0.9978304237465748,0.9992265657185943,0.9985280067113572,0.8870300270716818,0.9221625101108274,0.8452225689754219,0.8820178183372117
0.9984156472769301,0.9976206346007781,0.999212081927954,0.9984157240839027,0.8856803214471326,0.9218523143346949,0.8432311671416182,0.880790751379629
0.9983555310781356,0.9975588053234293,0.9991591298350034,0.9983583262671669,0.8854922159218722,0.9204234248747276,0.8435188350842295,0.8802946817007854
0.9984447357602179,0.9976471044266998,0.9992429183749534,0.9984443737537533,0.8842355934438437,0.9189159427901047,0.8425320073470307,0.8790678075975625
0.9984641280824096,0.9976973263400282,0.9992312620115311,0.9984637050313661,0.8862310633973797,0.9220144775733314,0.8437058595265813,0.8811236988691281
0.9985067911912315,0.9978282536444618,0.9991844881886706,0.9985059103856692,0.8848328769673511,0.9204346941198419,0.842364436442092,0.879670790564608
0.9984117688124917,0.997500155269859,0.999319455408774,0.9984089765581442,0.8847921530907483,0.9205291831435312,0.8421048545799645,0.8795723642201667
0.9984718850112864,0.9977561705310396,0.9991888881558266,0.9984720153884339,0.8852614472877898,0.9201189708428091,0.8431576860121073,0.8799587736792666
0.9984350395991219,0.997670262705984,0.9992002298368624,0.9984346601544392,0.8844159420402274,0.9200022078898094,0.8416640770665009,0.8790913645962443
0.9983438956848205,0.9975927115665952,0.9991007473099941,0.9983461599538319,0.8857714653614341,0.9216090833986486,0.8433663005509182,0.8807534091277168
0.9984059511158342,0.9976299096112587,0.9991854656033761,0.9984070817039188,0.8851489718190774,0.9199255042041762,0.8431139261177404,0.879846463154606
0.9986347805176974,0.9979955180248292,0.9992740457778192,0.99863437268435,0.8848716616117347,0.9211120609362441,0.8414186425072163,0.8794636693656452
0.9983594095425739,0.9975646526730836,0.9991636853598476,0.9983635287427026,0.8860332617110234,0.9210902474094748,0.843912732586156,0.8808141362477615
0.998446674992437,0.9977256172217659,0.9991696382494112,0.9984471056258979,0.8867721091865308,0.921450419464152,0.8454315735540141,0.8818056680161943
